user_id,watch_time_hours,avg_session_mins,num_sessions,top_genres,genre_diversity,weekend_watch_ratio,days_since_last_active
USR-0001,7.55,26.9,29,"Comedy, Romance",1,0.45,0
USR-0002,40.22,111.4,17,Drama,2,0.79,6
USR-0003,85.71,95.9,35,"Action, Thriller",1,0.4,0
USR-0004,2.1,16.5,3,Documentary,1,0.53,44
USR-0005,42.59,47.6,50,"Action, Animation, Documentary, Drama",4,0.42,1
USR-0006,12.69,26.9,32,"Comedy, Romance",1,0.17,2
USR-0007,15.09,21.8,19,"Comedy, Romance",1,0.26,2
USR-0008,54.48,85.9,22,"Action, Thriller",1,0.37,0
USR-0009,44.76,146.1,21,Drama,3,0.85,2
USR-0010,72.63,73.1,42,"Action, Thriller",2,0.62,2
USR-0011,,29.7,24,"Comedy, Romance",1,0.38,0
USR-0012,,80.2,18,"Drama, Sci-Fi",2,0.83,0
USR-0013,,22.1,5,Horror,1,0.38,24
USR-0014,,16.6,25,Animation,2,0.43,2
USR-0015,,68.0,37,"Action, Thriller",1,0.48,2
USR-0016,,23.3,30,Romance,1,0.33,5
USR-0017,,24.8,32,Animation,1,0.24,2
USR-0018,,126.9,33,"Action, Thriller",1,0.48,2
USR-0019,,12.3,3,Romance,1,0.37,34
USR-0020,,163.8,15,"Drama, Sci-Fi",3,0.75,1
USR-0021,65.65,99.1,29,"Action, Thriller",3,0.42,1
USR-0022,13.93,30.6,22,Animation,2,0.42,2
USR-0023,42.27,146.1,11,"Sci-Fi, Thriller",3,0.81,9
USR-0024,27.63,93.6,22,"Sci-Fi, Thriller",3,0.82,4
USR-0025,58.52,79.3,49,"Action, Thriller",2,0.5,0
USR-0026,32.49,97.4,23,Drama,3,0.9,1
USR-0027,21.09,25.9,31,Romance,1,0.2,15
USR-0028,40.13,149.1,18,"Drama, Sci-Fi",2,1.0,2
USR-0029,39.88,123.8,23,"Drama, Sci-Fi",3,0.77,1
USR-0030,43.36,121.0,18,Drama,2,0.76,2
USR-0031,16.39,23.0,31,Animation,1,0.24,5
USR-0032,60.21,81.0,35,"Horror, Romance, Thriller",3,0.67,1
USR-0033,14.28,31.8,33,"Comedy, Romance",2,0.42,0
USR-0034,58.9,106.5,15,"Sci-Fi, Thriller",2,0.76,3
USR-0035,44.28,85.0,47,"Action, Thriller",2,0.46,2
USR-0036,55.55,80.2,52,"Action, Thriller",2,0.51,11
