id,title,type,genres,duration_mins,release_year,imdb_rating,popularity,platform,director_or_creator,synopsis
MOV-01,Inception,Movie,"Action, Sci-Fi",148,2010,8.8,98,Netflix,Christopher Nolan,A thief who steals corporate secrets through dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
MOV-02,The Dark Knight,Movie,"Action, Thriller",152,2008,9.0,99,HBO Max,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on Gotham City, Batman must accept one of the greatest psychological tests of his ability to fight injustice."
MOV-03,Gladiator,Movie,"Action, Drama",155,2000,8.5,93,Amazon Prime,Ridley Scott,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
MOV-04,Interstellar,Movie,"Sci-Fi, Drama",169,2014,8.7,97,Amazon Prime,Christopher Nolan,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot is tasked to pilot a spacecraft along with a team of researchers to find a new planet."
SER-01,Breaking Bad,Series,"Drama, Thriller",49,2008,9.5,99,Netflix,Vince Gilligan,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family future.
SER-02,The Crown,Series,"Drama, Thriller",55,2016,8.6,92,Netflix,Peter Morgan,Follows the political rivalries and romance of Queen Elizabeth II reign and the events that shaped the second half of the twentieth century.
SER-03,Stranger Things,Series,"Sci-Fi, Drama, Horror",52,2016,8.7,96,Netflix,The Duffer Brothers,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
SHT-01,The Office,Short,Comedy,22,2005,9.0,95,Netflix,Greg Daniels,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
SHT-02,Rick and Morty,Short,"Comedy, Animation",23,2013,9.1,94,HBO Max,"Dan Harmon, Justin Roiland",An animated series on the interdimensional adventures of a sociopathic scientist and his easily influenced grandson.
MOV-05,La La Land,Movie,"Romance, Comedy",128,2016,8.0,91,Amazon Prime,Damien Chazelle,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
DOC-01,Our Planet,Series,Documentary,50,2019,9.3,94,Netflix,Alastair Fothergill,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa."
DOC-02,The Social Dilemma,Movie,"Documentary, Sci-Fi",94,2020,7.6,90,Netflix,Jeff Orlowski,"Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations."
MOV-06,A Quiet Place,Movie,"Horror, Thriller",90,2018,7.5,89,Amazon Prime,John Krasinski,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
SHT-03,Arcane,Short,"Animation, Action",40,2021,9.0,97,Netflix,"Christian Linke, Alex Yee","Set in the utopian region of Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
MOV-07,Money Heist,Series,"Action, Thriller",50,2017,8.2,96,Netflix,Álex Pina,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
